"cage","mweight","lsize","ind","sex","day","wt"
"1",24.5,2,"1","F",0,2.5
"1",24.5,2,"1","F",1,2.7
"1",24.5,2,"1","F",2,3.5
"1",24.5,2,"1","F",3,4.1
"1",24.5,2,"1","F",4,5.1
"1",24.5,2,"1","F",5,5.5
"1",24.5,2,"1","F",7,6.9
"1",24.5,2,"1","F",9,8.4
"1",24.5,2,"1","F",11,10.1
"1",24.5,2,"1","F",13,12.1
"1",24.5,2,"1","F",15,13.5
"1",24.5,2,"1","F",18,15.6
"1",24.5,2,"2","F",0,2.4
"1",24.5,2,"2","F",1,2.7
"1",24.5,2,"2","F",2,3.5
"1",24.5,2,"2","F",3,4.2
"1",24.5,2,"2","F",4,5.1
"1",24.5,2,"2","F",5,5.6
"1",24.5,2,"2","F",7,7.1
"1",24.5,2,"2","F",9,8.1
"1",24.5,2,"2","F",11,9.8
"1",24.5,2,"2","F",13,11.6
"1",24.5,2,"2","F",15,12.9
"1",24.5,2,"2","F",18,14.4
"2",31,5,"3","F",0,1.8
"2",31,5,"3","F",1,2
"2",31,5,"3","F",2,2.7
"2",31,5,"3","F",3,2.6
"2",31,5,"3","F",4,3
"2",31,5,"3","F",5,3.6
"2",31,5,"3","F",7,5.2
"2",31,5,"3","F",9,6.9
"2",31,5,"3","F",11,7.7
"2",31,5,"3","F",13,9.8
"2",31,5,"3","F",15,11.3
"2",31,5,"3","F",18,13.5
"2",31,5,"4","F",0,1.9
"2",31,5,"4","F",1,2.2
"2",31,5,"4","F",2,2.7
"2",31,5,"4","F",3,2.6
"2",31,5,"4","F",4,3.2
"2",31,5,"4","F",5,3.7
"2",31,5,"4","F",7,5.2
"2",31,5,"4","F",9,6.8
"2",31,5,"4","F",11,7.6
"2",31,5,"4","F",13,8.6
"2",31,5,"4","F",15,10.9
"2",31,5,"4","F",18,12.8
"2",31,5,"5","F",0,1.9
"2",31,5,"5","F",1,2.2
"2",31,5,"5","F",2,2.7
"2",31,5,"5","F",3,2.8
"2",31,5,"5","F",4,3.4
"2",31,5,"5","F",5,3.9
"2",31,5,"5","F",7,5.5
"2",31,5,"5","F",9,7
"2",31,5,"5","F",11,8.2
"2",31,5,"5","F",13,9.4
"2",31,5,"5","F",15,11.5
"2",31,5,"5","F",18,13.1
"2",31,5,"6","M",0,2
"2",31,5,"6","M",1,1.4
"2",31,5,"6","M",2,3.1
"2",31,5,"6","M",3,2.9
"2",31,5,"6","M",4,3.4
"2",31,5,"6","M",5,4
"2",31,5,"6","M",7,5.6
"2",31,5,"6","M",9,7.3
"2",31,5,"6","M",11,8.3
"2",31,5,"6","M",13,10.2
"2",31,5,"6","M",15,12.1
"2",31,5,"6","M",18,14.4
"3",29.8,6,"8","F",0,2.1
"3",29.8,6,"8","F",1,2.4
"3",29.8,6,"8","F",2,3.1
"3",29.8,6,"8","F",3,3.3
"3",29.8,6,"8","F",4,4.4
"3",29.8,6,"8","F",5,4.7
"3",29.8,6,"8","F",7,5.8
"3",29.8,6,"8","F",9,6.5
"3",29.8,6,"8","F",11,7.6
"3",29.8,6,"8","F",13,8.5
"3",29.8,6,"8","F",15,10.1
"3",29.8,6,"8","F",18,12
"3",29.8,6,"9","F",0,2.5
"3",29.8,6,"9","F",1,2.9
"3",29.8,6,"9","F",2,3.6
"3",29.8,6,"9","F",3,4.2
"3",29.8,6,"9","F",4,5.1
"3",29.8,6,"9","F",5,5.4
"3",29.8,6,"9","F",7,6.5
"3",29.8,6,"9","F",9,7.4
"3",29.8,6,"9","F",11,8.7
"3",29.8,6,"9","F",13,10.2
"3",29.8,6,"9","F",15,11.9
"3",29.8,6,"9","F",18,13.4
"3",29.8,6,"10","M",0,2.2
"3",29.8,6,"10","M",1,2.6
"3",29.8,6,"10","M",2,3.3
"3",29.8,6,"10","M",3,3.8
"3",29.8,6,"10","M",4,4.5
"3",29.8,6,"10","M",5,5
"3",29.8,6,"10","M",7,6.1
"3",29.8,6,"10","M",9,6.6
"3",29.8,6,"10","M",11,8.1
"3",29.8,6,"10","M",13,9.4
"3",29.8,6,"10","M",15,11
"3",29.8,6,"10","M",18,12.9
"3",29.8,6,"11","F",0,2.1
"3",29.8,6,"11","F",1,2.6
"3",29.8,6,"11","F",2,3.3
"3",29.8,6,"11","F",3,3.8
"3",29.8,6,"11","F",4,4.6
"3",29.8,6,"11","F",5,4.9
"3",29.8,6,"11","F",7,6.1
"3",29.8,6,"11","F",9,6.8
"3",29.8,6,"11","F",11,8.3
"3",29.8,6,"11","F",13,9.5
