"color","spine","width.cm","nsatellites","mass.kg"
"medium","both.bad",28.3,8,3.05
"dark-medium","both.bad",22.5,0,1.55
"light-medium","good",26,9,2.3
"dark-medium","both.bad",24.8,0,2.1
"dark-medium","both.bad",26,4,2.6
"medium","both.bad",23.8,0,2.1
"light-medium","good",26.5,0,2.35
"dark-medium","one.bad",24.7,0,1.9
"medium","good",23.7,0,1.95
"dark-medium","both.bad",25.6,0,2.15
"dark-medium","both.bad",24.3,0,2.15
"medium","both.bad",25.8,0,2.65
"medium","both.bad",28.2,11,3.05
"dark","one.bad",21,0,1.85
"medium","good",26,14,2.3
"light-medium","good",27.1,8,2.95
"medium","both.bad",25.2,1,2
"medium","both.bad",29,1,3
"dark","both.bad",24.7,0,2.2
"medium","both.bad",27.4,5,2.7
"medium","one.bad",23.2,4,1.95
"light-medium","one.bad",25,3,2.3
"medium","good",22.5,1,1.6
"dark-medium","both.bad",26.7,2,2.6
"dark","both.bad",25.8,3,2
"dark","both.bad",26.2,0,1.3
"medium","both.bad",28.7,3,3.15
"medium","good",26.8,5,2.7
"dark","both.bad",27.5,0,2.6
"medium","both.bad",24.9,0,2.1
"light-medium","good",29.3,4,3.2
"light-medium","both.bad",25.8,0,2.6
"medium","one.bad",25.7,0,2
"medium","good",25.7,8,2
"medium","good",26.7,5,2.7
"dark","both.bad",23.7,0,1.85
"medium","both.bad",26.8,0,2.65
"medium","both.bad",27.5,6,3.15
"dark","both.bad",23.4,0,1.9
"medium","both.bad",27.9,6,2.8
"dark-medium","both.bad",27.5,3,3.1
"light-medium","good",26.1,5,2.8
"light-medium","good",27.7,6,2.5
"medium","good",30,5,3.3
"dark-medium","good",28.5,9,3.25
"dark-medium","both.bad",28.9,4,2.8
"medium","both.bad",28.2,6,2.6
"medium","both.bad",25,4,2.1
"medium","both.bad",28.5,3,3
"medium","good",30.3,3,3.6
"dark","both.bad",24.7,5,2.1
"medium","both.bad",27.7,5,2.9
"light-medium","good",27.4,6,2.7
"medium","both.bad",22.9,4,1.6
"medium","good",25.7,5,2
"medium","both.bad",28.3,15,3
"medium","both.bad",27.2,3,2.7
"dark-medium","both.bad",26.2,3,2.3
"medium","good",27.8,0,2.75
"dark","both.bad",25.5,0,2.25
"dark-medium","both.bad",27.1,0,2.55
"dark-medium","both.bad",24.5,5,2.05
"dark-medium","good",27,3,2.45
"medium","both.bad",26,5,2.15
"medium","both.bad",28,1,2.8
"medium","both.bad",30,8,3.05
"medium","both.bad",29,10,3.2
"medium","both.bad",26.2,0,2.4
"medium","good",26.5,0,1.3
"medium","both.bad",26.2,3,2.4
"dark-medium","both.bad",25.6,7,2.8
"dark-medium","both.bad",23,1,1.65
"dark-medium","both.bad",23,0,1.8
"medium","both.bad",25.4,6,2.25
"dark-medium","both.bad",24.2,0,1.9
"medium","one.bad",22.9,0,1.6
"dark-medium","one.bad",26,3,2.2
"medium","both.bad",25.4,4,2.25
"dark-medium","both.bad",25.7,0,1.2
"medium","both.bad",25.1,5,2.1
"dark-medium","one.bad",24.5,0,2.25
"dark","both.bad",27.5,0,2.9
"dark-medium","both.bad",23.1,0,1.65
"dark-medium","good",25.9,4,2.55
"medium","both.bad",25.8,0,2.3
"dark","both.bad",27,3,2.25
"medium","both.bad",28.5,0,3.05
"dark","good",25.5,0,2.75
"dark","both.bad",23.5,0,1.9
"medium","one.bad",24,0,1.7
"medium","good",29.7,5,3.85
"medium","good",26.8,0,2.55
"dark","both.bad",26.7,0,2.45
"medium","good",28.7,0,3.2
"dark-medium","both.bad",23.1,0,1.55
"medium","good",29,1,2.8
"dark-medium","both.bad",25.5,0,2.25
"dark-medium","both.bad",26.5,1,1.967
"dark-medium","both.bad",24.5,1,2.2
"dark-medium","both.bad",28.5,1,3
"medium","both.bad",28.2,1,2.867
"medium","both.bad",24.5,1,1.6
"medium","both.bad",27.5,1,2.55
"medium","one.bad",24.7,4,2.55
"medium","good",25.2,1,2
"dark-medium","both.bad",27.3,1,2.9
"medium","both.bad",26.3,1,2.4
"medium","both.bad",29,1,3.1
"medium","both.bad",25.3,2,1.9
"medium","both.bad",26.5,4,2.3
"medium","both.bad",27.8,3,3.25
"medium","both.bad",27,6,2.5
"dark-medium","both.bad",25.7,0,2.1
"medium","both.bad",25,2,2.1
"medium","both.bad",31.9,2,3.325
"dark","both.bad",23.7,0,1.8
"dark","both.bad",29.3,12,3.225
"dark-medium","both.bad",22,0,1.4
"medium","both.bad",25,5,2.4
"dark-medium","both.bad",27,6,2.5
"dark-medium","both.bad",23.8,6,1.8
"light-medium","good",30.2,2,3.275
"dark-medium","both.bad",26.2,0,2.225
"medium","both.bad",24.2,2,1.65
"medium","both.bad",27.4,3,2.9
"medium","one.bad",25.4,0,2.3
"dark-medium","both.bad",28.4,3,3.2
"dark","both.bad",22.5,4,1.475
"medium","both.bad",26.2,2,2.025
"medium","good",24.9,6,2.3
"light-medium","one.bad",24.5,6,1.95
"medium","both.bad",25.1,0,1.8
"medium","good",28,4,2.9
"dark","both.bad",25.8,10,2.25
"medium","both.bad",27.9,7,3.05
"medium","both.bad",24.9,0,2.2
"medium","good",28.4,5,3.1
"dark-medium","both.bad",27.2,5,2.4
"medium","one.bad",25,6,2.25
"medium","both.bad",27.5,6,2.625
"medium","good",33.5,7,5.2
"medium","both.bad",30.5,3,3.325
"dark-medium","both.bad",29,3,2.925
"medium","good",24.3,0,2
"medium","both.bad",25.8,0,2.4
"dark","both.bad",25,8,2.1
"medium","good",31.7,4,3.725
"medium","both.bad",29.5,4,3.025
"dark-medium","both.bad",24,10,1.9
"medium","both.bad",30,9,3
"medium","both.bad",27.6,4,2.85
"medium","both.bad",26.2,0,2.3
"medium","good",23.1,0,2
"medium","good",22.9,0,1.6
"dark","both.bad",24.5,0,1.9
"medium","both.bad",24.7,4,1.95
"medium","both.bad",28.3,0,3.2
"medium","both.bad",23.9,2,1.85
"dark-medium","both.bad",23.8,0,1.8
"dark-medium","one.bad",29.8,4,3.5
"medium","both.bad",26.5,4,2.35
"medium","both.bad",26,3,2.275
"medium","both.bad",28.2,8,3.05
"dark","both.bad",25.7,0,2.15
"medium","both.bad",26.5,7,2.75
"medium","both.bad",25.8,0,2.2
"dark-medium","both.bad",24.1,0,1.8
"dark-medium","both.bad",26.2,2,2.175
"dark-medium","both.bad",26.1,3,2.75
"dark-medium","both.bad",29,4,3.275
"light-medium","good",28,0,2.625
"dark","both.bad",27,0,2.625
"medium","one.bad",24.5,0,2
